tanggal;nominal
2020-12-19 00.00.00;5878000
2020-12-20 00.00.00;3500262
2020-12-21 00.00.00;7369846
2020-12-22 00.00.00;7112392
2020-12-23 00.00.00;12844446
2020-12-24 00.00.00;3307589
2020-12-25 00.00.00;6396150
2020-12-26 00.00.00;1505000
2020-12-27 00.00.00;0
2020-12-28 00.00.00;7851550
2020-12-29 00.00.00;7157410
2020-12-30 00.00.00;28034269
2020-12-31 00.00.00;10865000
2021-01-01 00.00.00;15104921
2021-01-02 00.00.00;18147735
2021-01-03 00.00.00;4549815
2021-01-04 00.00.00;14719743
2021-01-05 00.00.00;6214702
2021-01-06 00.00.00;6165977
2021-01-07 00.00.00;10997619
2021-01-08 00.00.00;13092814
2021-01-09 00.00.00;3775627
2021-01-10 00.00.00;2811133
2021-01-11 00.00.00;12528655
2021-01-12 00.00.00;7396030
2021-01-13 00.00.00;3706127
2021-01-14 00.00.00;15991775
2021-01-15 00.00.00;11051862
2021-01-16 00.00.00;3244573
2021-01-17 00.00.00;1472060
2021-01-18 00.00.00;7341164
2021-01-19 00.00.00;3600370
2021-01-20 00.00.00;3819416
2021-01-21 00.00.00;3967339
2021-01-22 00.00.00;9897433
2021-01-23 00.00.00;3951190
2021-01-24 00.00.00;1437358
2021-01-25 00.00.00;7895214
2021-01-26 00.00.00;6137926
2021-01-27 00.00.00;20211245
2021-01-28 00.00.00;12829509
2021-01-29 00.00.00;12251237
2021-01-30 00.00.00;6300494
2021-01-31 00.00.00;9813500
2021-02-01 00.00.00;4083988
2021-02-02 00.00.00;5654589
2021-02-03 00.00.00;5016516
2021-02-04 00.00.00;9268246
2021-02-05 00.00.00;27017900
2021-02-06 00.00.00;2994872
2021-02-07 00.00.00;6569570
2021-02-08 00.00.00;4680010
2021-02-09 00.00.00;2772700
2021-02-10 00.00.00;5139400
2021-02-11 00.00.00;4573022
2021-02-12 00.00.00;13389168
2021-02-13 00.00.00;15780000
2021-02-14 00.00.00;886213
2021-02-15 00.00.00;4870502
2021-02-16 00.00.00;2320213
2021-02-17 00.00.00;5301664
2021-02-18 00.00.00;5403533
2021-02-19 00.00.00;14093119
2021-02-20 00.00.00;1665000
2021-02-21 00.00.00;1289888
2021-02-22 00.00.00;3859756
2021-02-23 00.00.00;6257774
2021-02-24 00.00.00;3218504
2021-02-25 00.00.00;10324009
2021-02-26 00.00.00;20619625
2021-02-27 00.00.00;7069650
2021-02-28 00.00.00;5852500
2021-03-01 00.00.00;12834400
2021-03-02 00.00.00;7152500
2021-03-03 00.00.00;5048850
2021-03-04 00.00.00;2408000
2021-03-05 00.00.00;10632229
2021-03-06 00.00.00;2043200
2021-03-07 00.00.00;3107000
2021-03-08 00.00.00;3298000
2021-03-09 00.00.00;1624428
2021-03-10 00.00.00;5892451
2021-03-11 00.00.00;1871625
2021-03-12 00.00.00;2778000
2021-03-13 00.00.00;2301825
2021-03-14 00.00.00;2383600
2021-03-15 00.00.00;2146064
2021-03-16 00.00.00;1876169
2021-03-17 00.00.00;939000
2021-03-18 00.00.00;2145000
2021-03-19 00.00.00;4503605
